wave track_id,data
3,first_frame_number=14  last_frame_number=180  avg_velocity=1.4346964478654647  max_height=52  matched_standing_id=6
5,first_frame_number=72  last_frame_number=348  avg_velocity=1.4429208515753533  max_height=65  matched_standing_id=6
10,first_frame_number=176  last_frame_number=235  avg_velocity=3.6328166869935066  max_height=74  matched_standing_id=-1
11,first_frame_number=216  last_frame_number=348  avg_velocity=3.4242759451295717  max_height=84  matched_standing_id=-1
15,first_frame_number=421  last_frame_number=430  avg_velocity=3.018461712712472  max_height=73  matched_standing_id=14
18,first_frame_number=453  last_frame_number=768  avg_velocity=0.2863485024451982  max_height=83  matched_standing_id=23
26,first_frame_number=691  last_frame_number=766  avg_velocity=1.7845758911044134  max_height=67  matched_standing_id=23
34,first_frame_number=823  last_frame_number=1260  avg_velocity=0.13284142126956514  max_height=90  matched_standing_id=33
40,first_frame_number=1002  last_frame_number=1164  avg_velocity=1.5757676679421397  max_height=71  matched_standing_id=42
50,first_frame_number=1311  last_frame_number=1440  avg_velocity=3.2719056013348906  max_height=73  matched_standing_id=53
51,first_frame_number=1344  last_frame_number=1449  avg_velocity=0.9566570669598236  max_height=65  matched_standing_id=53
54,first_frame_number=1362  last_frame_number=1451  avg_velocity=2.8881868936033688  max_height=68  matched_standing_id=53
52,first_frame_number=1378  last_frame_number=1422  avg_velocity=1.8046370482823015  max_height=60  matched_standing_id=-1
55,first_frame_number=1413  last_frame_number=1443  avg_velocity=1.7448336437736534  max_height=70  matched_standing_id=-1
57,first_frame_number=1502  last_frame_number=1529  avg_velocity=1.522578132673664  max_height=65  matched_standing_id=-1
58,first_frame_number=1515  last_frame_number=1690  avg_velocity=2.6115286007725556  max_height=68  matched_standing_id=60
61,first_frame_number=1544  last_frame_number=1721  avg_velocity=1.318528357279741  max_height=70  matched_standing_id=60
67,first_frame_number=1783  last_frame_number=1867  avg_velocity=3.5956519786997516  max_height=83  matched_standing_id=69
68,first_frame_number=1794  last_frame_number=1814  avg_velocity=2.25055548698538  max_height=58  matched_standing_id=-1
70,first_frame_number=1858  last_frame_number=1983  avg_velocity=0.9908703245127488  max_height=68  matched_standing_id=-1
72,first_frame_number=1869  last_frame_number=2034  avg_velocity=3.279062330976889  max_height=79  matched_standing_id=76
71,first_frame_number=1872  last_frame_number=2152  avg_velocity=1.3630136178516266  max_height=85  matched_standing_id=76
78,first_frame_number=2077  last_frame_number=2563  avg_velocity=1.337448559670782  max_height=180  matched_standing_id=92
83,first_frame_number=2218  last_frame_number=2222  avg_velocity=2.2638462845343543  max_height=49  matched_standing_id=-1
89,first_frame_number=2345  last_frame_number=2384  avg_velocity=2.6666666666666665  max_height=64  matched_standing_id=-1
91,first_frame_number=2442  last_frame_number=2565  avg_velocity=0.4718249797901434  max_height=182  matched_standing_id=92
95,first_frame_number=2459  last_frame_number=2559  avg_velocity=0.1004987562112089  max_height=229  matched_standing_id=-1
94,first_frame_number=2459  last_frame_number=2563  avg_velocity=0.11618313436148628  max_height=165  matched_standing_id=-1
